Tide Freq junk1 junk2 junk3 amp1 phase1 amp2 phase2
Z0 0.00000000 6485 775/ 975 1.9806 0.00 1.9806 0.00
MM 0.00151215 6485 775/ 975 0.2121 263.34 0.2121 288.50
MSF 0.00282193 6485 775/ 975 0.1561 133.80 0.1561 115.15
ALP1 0.03439657 6485 775/ 975 0.0152 334.95 0.0141 180.96
2Q1 0.03570635 6485 775/ 975 0.0246 82.69 0.0226 246.82
Q1 0.03721850 6485 775/ 975 0.0158 65.74 0.0144 252.75
O1 0.03873065 6485 775/ 975 0.0764 74.23 0.0694 284.43
NO1 0.04026859 6485 775/ 975 0.0290 238.14 0.0380 275.85
P1 0.04155259 6485 775/ 975 0.0465 71.76 0.0468 252.20
K1 0.04178075 6485 775/ 975 0.1406 64.69 0.1332 145.54
J1 0.04329290 6485 775/ 975 0.0253 7.32 0.0234 103.63
OO1 0.04483084 6485 775/ 975 0.0531 235.74 0.0463 358.47
UPS1 0.04634299 6485 775/ 975 0.0298 91.73 0.0233 239.12
EPS2 0.07617731 6485 775/ 975 0.0211 184.59 0.0216 109.98
MU2 0.07768947 6485 775/ 975 0.0419 83.23 0.0428 30.06
N2 0.07899925 6485 775/ 975 0.0838 44.52 0.0857 306.35
M2 0.08051140 6485 775/ 975 0.4904 77.70 0.5007 4.40
L2 0.08202355 6485 775/ 975 0.0213 35.21 0.0174 168.03
S2 0.08333334 6485 775/ 975 0.2195 126.65 0.2193 36.74
K2 0.08356149 6485 775/ 975 0.0597 149.05 0.0515 131.15
ETA2 0.08507364 6485 775/ 975 0.0071 246.05 0.0059 235.38
MO3 0.11924206 6485 775/ 975 0.0148 234.97 0.0138 11.86
M3 0.12076710 6485 775/ 975 0.0123 261.57 0.0126 331.91
MK3 0.12229215 6485 775/ 975 0.0049 331.60 0.0048 339.15
SK3 0.12511408 6485 775/ 975 0.0023 237.69 0.0022 228.64
MN4 0.15951066 6485 775/ 975 0.0092 256.47 0.0096 85.00
M4 0.16102280 6485 775/ 975 0.0126 291.78 0.0131 145.17
SN4 0.16233259 6485 775/ 975 0.0083 270.85 0.0085 82.78
MS4 0.16384473 6485 775/ 975 0.0010 339.35 0.0011 176.14
S4 0.16666667 6485 775/ 975 0.0047 299.56 0.0047 119.75
2MK5 0.20280355 6485 775/ 975 0.0013 310.10 0.0013 244.34
2SK5 0.20844743 6485 775/ 975 0.0045 104.00 0.0043 5.04
2MN6 0.24002205 6485 775/ 975 0.0035 271.24 0.0038 26.46
M6 0.24153420 6485 775/ 975 0.0017 158.89 0.0018 298.97
2MS6 0.24435614 6485 775/ 975 0.0056 306.10 0.0059 69.59
2SM6 0.24717808 6485 775/ 975 0.0023 298.92 0.0023 45.80
3MK7 0.28331494 6485 775/ 975 0.0086 212.25 0.0086 73.20
M8 0.32204559 6485 775/ 975 0.0030 42.43 0.0033 109.22
M10 0.40255699 6485 775/ 975 0.0009 198.23 0.0010 191.71
