# This file constructed by cut/paste of Table 1 of pawlowicz2002cthw.pdf followed
# by a fixup of a handfull of lines in which numbers got strung together owing to
# some problem of PDF tables. This problem was easy to diagnose, because R
# reported a wrong number of items per line, and a glance at the screenshot
# ttide_screenshot.png of the PDF viewer indicated where to insert blanks.
# Finally, a Z0 line was added, to make comparision with tidem() results
# a bit simpler.

Tide Freq Amp AmpErr Pha PhaErr Snr
Z0 0 1.98 NA 0 NA NA
MM 0.00151 0.2121 0.503 263.34 161.41 0.18
MSF 0.00282 0.1561 0.526 133.80 188.82 0.088
ALP1 0.03440 0.0152 0.044 334.95 150.82 0.12
2Q1 0.03571 0.0246 0.044 82.69 106.21 0.31
Q1 0.03722 0.0158 0.045 65.74 160.30 0.12
O1 0.03873 0.0764 0.055 74.23 43.35 1.9
NO1 0.04027 0.0290 0.035 238.14 74.68 0.69
P1 0.04155 0.0465 0.045 71.88 70.96 1.1
K1 0.04178 0.1405 0.059 64.81 23.49 5.7
J1 0.04329 0.0253 0.050 7.32 129.76 0.25
OO1 0.04483 0.0531 0.059 235.75 72.96 0.81
UPSI 0.04634 0.0298 0.055 91.73 137.06 0.29
EPS2 0.07618 0.0211 0.030 184.59 104.65 0.51
MU2 0.07769 0.0419 0.034 83.23 48.82 1.5
N2 0.07900 0.0838 0.035 44.52 25.54 5.9
M2 0.08051 0.4904 0.035 77.70 4.51 1.9e+02
L2 0.08202 0.0213 0.037 35.22 113.22 0.33
S2 0.08333 0.2197 0.038 126.72 9.14 34
K2 0.08356 0.0598 0.043 149.12 46.60 2
ETA2 0.08507 0.0071 0.033 246.05 207.25 0.048
MO3 0.11924 0.0148 0.014 234.97 67.38 1.1
M3 0.12077 0.0123 0.014 261.57 62.11 0.81
MK3 0.12229 0.0049 0.012 331.60 144.92 0.18
SK3 0.12511 0.0023 0.010 237.69 219.86 0.054
MN4 0.15951 0.0092 0.011 256.47 69.76 0.68
M4 0.16102 0.0126 0.011 291.78 65.09 1.4
SN4 0.16233 0.0083 0.011 270.85 91.22 0.54
MS4 0.16384 0.0010 0.008 339.35 248.82 0.015
S4 0.16667 0.0047 0.010 299.56 142.32 0.23
2MK5 0.20280 0.0013 0.005 310.10 181.03 0.067
2SK5 0.20845 0.0045 0.006 104.00 99.71 0.64
2MN6 0.24002 0.0035 0.007 271.24 133.30 0.22
M6 0.24153 0.0017 0.006 158.88 197.43 0.093
2MS6 0.24436 0.0056 0.008 306.10 90.03 0.54
2SM6 0.24718 0.0023 0.007 298.92 175.13 0.11
3MK7 0.28331 0.0086 0.006 212.25 44.21 2.1
MS 0.32205 0.0030 0.004 42.43 75.29 0.55
M10 0.40256 0.0009 0.003 198.23 209.99 0.089

