Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
2019/08/15,00:00,0.691,-,0.751
2019/08/15,00:06,0.708,-,0.777
2019/08/15,00:12,0.723,-,0.771
2019/08/15,00:18,0.738,-,0.801
2019/08/15,00:24,0.751,-,0.837
2019/08/15,00:30,0.762,-,0.863
2019/08/15,00:36,0.773,-,0.875
2019/08/15,00:42,0.781,-,0.895
2019/08/15,00:48,0.789,-,0.905
2019/08/15,00:54,0.794,-,0.915
2019/08/15,01:00,0.798,-,0.915
2019/08/15,01:06,0.801,-,0.909
2019/08/15,01:12,0.801,-,0.907
2019/08/15,01:18,0.8,-,0.923
2019/08/15,01:24,0.797,-,0.931
2019/08/15,01:30,0.792,-,0.935
2019/08/15,01:36,0.785,-,0.91
2019/08/15,01:42,0.776,-,0.895
2019/08/15,01:48,0.764,-,0.874
2019/08/15,01:54,0.751,-,0.854
2019/08/15,02:00,0.736,-,0.839
2019/08/15,02:06,0.718,-,0.842
2019/08/15,02:12,0.699,-,0.844
2019/08/15,02:18,0.677,-,0.82
2019/08/15,02:24,0.653,-,0.796
2019/08/15,02:30,0.628,-,0.778
2019/08/15,02:36,0.601,-,0.754
2019/08/15,02:42,0.572,-,0.729
2019/08/15,02:48,0.541,-,0.697
2019/08/15,02:54,0.509,-,0.659
2019/08/15,03:00,0.476,-,0.617
2019/08/15,03:06,0.441,-,0.568
2019/08/15,03:12,0.405,-,0.524
2019/08/15,03:18,0.369,-,0.496
2019/08/15,03:24,0.331,-,0.449
2019/08/15,03:30,0.293,-,0.389
2019/08/15,03:36,0.255,-,0.328
2019/08/15,03:42,0.216,-,0.284
2019/08/15,03:48,0.177,-,0.242
2019/08/15,03:54,0.137,-,0.202
2019/08/15,04:00,0.098,-,0.146
2019/08/15,04:06,0.059,-,0.087
2019/08/15,04:12,0.021,-,0.049
2019/08/15,04:18,-0.017,-,0.02
2019/08/15,04:24,-0.055,-,-0.034
2019/08/15,04:30,-0.092,-,-0.074
2019/08/15,04:36,-0.129,-,-0.119
2019/08/15,04:42,-0.165,-,-0.145
2019/08/15,04:48,-0.2,-,-0.16
2019/08/15,04:54,-0.234,-,-0.166
2019/08/15,05:00,-0.267,-,-0.196
2019/08/15,05:06,-0.3,-,-0.24
2019/08/15,05:12,-0.331,-,-0.274
2019/08/15,05:18,-0.361,-,-0.31
2019/08/15,05:24,-0.391,-,-0.328
2019/08/15,05:30,-0.419,-,-0.357
2019/08/15,05:36,-0.446,-,-0.379
2019/08/15,05:42,-0.471,-,-0.408
2019/08/15,05:48,-0.495,-,-0.431
2019/08/15,05:54,-0.518,-,-0.453
2019/08/15,06:00,-0.539,-,-0.472
2019/08/15,06:06,-0.559,-,-0.507
2019/08/15,06:12,-0.577,-,-0.522
2019/08/15,06:18,-0.594,-,-0.527
2019/08/15,06:24,-0.609,-,-0.528
2019/08/15,06:30,-0.621,-,-0.526
2019/08/15,06:36,-0.632,-,-0.538
2019/08/15,06:42,-0.641,-,-0.548
