"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2023/08/30","00:00","0.712","0.812","-"
"2023/08/30","00:06","0.721","0.828","-"
"2023/08/30","00:12","0.731","0.839","-"
"2023/08/30","00:18","0.739","0.847","-"
"2023/08/30","00:24","0.747","0.852","-"
"2023/08/30","00:30","0.754","0.86","-"
"2023/08/30","00:36","0.76","0.864","-"
"2023/08/30","00:42","0.765","0.877","-"
"2023/08/30","00:48","0.77","0.883","-"
"2023/08/30","00:54","0.774","0.891","-"
"2023/08/30","01:00","0.776","0.897","-"
"2023/08/30","01:06","0.778","0.897","-"
"2023/08/30","01:12","0.78","0.899","-"
"2023/08/30","01:18","0.78","0.904","-"
"2023/08/30","01:24","0.779","0.907","-"
"2023/08/30","01:30","0.778","0.911","-"
"2023/08/30","01:36","0.776","0.915","-"
"2023/08/30","01:42","0.773","0.915","-"
"2023/08/30","01:48","0.769","0.904","-"
"2023/08/30","01:54","0.764","0.892","-"
"2023/08/30","02:00","0.758","0.885","-"
"2023/08/30","02:06","0.752","0.882","-"
"2023/08/30","02:12","0.744","0.875","-"
"2023/08/30","02:18","0.736","0.867","-"
"2023/08/30","02:24","0.728","0.845","-"
"2023/08/30","02:30","0.718","0.841","-"
"2023/08/30","02:36","0.708","0.835","-"
"2023/08/30","02:42","0.697","0.82","-"
"2023/08/30","02:48","0.686","0.81","-"
"2023/08/30","02:54","0.674","0.801","-"
"2023/08/30","03:00","0.661","0.794","-"
"2023/08/30","03:06","0.648","0.777","-"
"2023/08/30","03:12","0.634","0.754","-"
"2023/08/30","03:18","0.62","0.742","-"
"2023/08/30","03:24","0.606","0.73","-"
"2023/08/30","03:30","0.591","0.705","-"
"2023/08/30","03:36","0.575","0.684","-"
"2023/08/30","03:42","0.56","0.669","-"
"2023/08/30","03:48","0.544","0.65","-"
"2023/08/30","03:54","0.528","0.633","-"
"2023/08/30","04:00","0.511","0.608","-"
"2023/08/30","04:06","0.495","0.589","-"
"2023/08/30","04:12","0.478","0.568","-"
"2023/08/30","04:18","0.461","0.548","-"
"2023/08/30","04:24","0.444","0.539","-"
"2023/08/30","04:30","0.427","0.519","-"
"2023/08/30","04:36","0.41","0.5","-"
"2023/08/30","04:42","0.394","0.49","-"
"2023/08/30","04:48","0.377","0.469","-"
"2023/08/30","04:54","0.36","0.448","-"
"2023/08/30","05:00","0.344","0.436","-"
"2023/08/30","05:06","0.327","0.424","-"
"2023/08/30","05:12","0.311","0.409","-"
"2023/08/30","05:18","0.295","0.394","-"
"2023/08/30","05:24","0.279","0.375","-"
"2023/08/30","05:30","0.264","0.358","-"
"2023/08/30","05:36","0.249","0.342","-"
"2023/08/30","05:42","0.234","0.328","-"
"2023/08/30","05:48","0.22","0.319","-"
"2023/08/30","05:54","0.206","0.31","-"
"2023/08/30","06:00","0.192","0.285","-"
"2023/08/30","06:06","0.179","0.269","-"
"2023/08/30","06:12","0.166","0.258","-"
