 1 120 8 1 0     1.483
 1 120 8 2 0     1.555
 1 120 8 3 0     2.228
 1 120 8 4 0     2.773
 1 120 8 5 0     2.627
 1 120 8 6 0     3.221
 1 120 8 7 0     2.958
 1 120 8 8 0     2.820
 1 120 8 9 0     3.045
 1 120 810 0     2.449
 1 120 811 0     1.791
 1 120 812 0     1.737
 1 120 813 0     1.713
 1 120 814 0     1.184
 1 120 815 0     1.567
 1 120 816 0     1.689
 1 120 817 0     2.139
 1 120 818 0     2.367
 1 120 819 0     2.437
 1 120 820 0     2.590
 1 120 821 0     2.526
 1 120 822 0     2.252
 1 120 823 0     1.703
 1 120 824 0     2.038
 2 120 8 1 0     1.881
 2 120 8 2 0     1.703
 2 120 8 3 0     1.984
 2 120 8 4 0     2.535
 2 120 8 5 0     2.632
 2 120 8 6 0     2.716
 2 120 8 7 0     3.211
 2 120 8 8 0     2.859
 2 120 8 9 0     2.833
 2 120 810 0     2.691
 2 120 811 0     2.460
 2 120 812 0     1.778
 2 120 813 0     1.381
 2 120 814 0     1.347
 2 120 815 0     1.529
 2 120 816 0     1.608
 2 120 817 0     1.533
 2 120 818 0     2.037
 2 120 819 0     1.831
 2 120 820 0     1.976
 2 120 821 0     2.034
 2 120 822 0     2.232
 2 120 823 0     2.482
 2 120 824 0     2.036
 3 120 8 1 0     1.817
 3 120 8 2 0     1.866
 3 120 8 3 0     2.073
 3 120 8 4 0     2.396
 3 120 8 5 0     2.364
 3 120 8 6 0     2.470
 3 120 8 7 0     2.894
 3 120 8 8 0     3.007
 3 120 8 9 0     3.007
 3 120 810 0     3.069
 3 120 811 0     2.556
 3 120 812 0     2.415
 3 120 813 0     1.345
 3 120 814 0     1.053
 3 120 815 0     0.942
 3 120 816 0     1.361
 3 120 817 0     0.846
 3 120 818 0     1.543
 3 120 819 0     1.496
 3 120 820 0     1.751
 3 120 821 0     2.198
 3 120 822 0     2.559
 3 120 823 0     2.153
 3 120 824 0     2.293
 4 120 8 1 0     2.343
 4 120 8 2 0     2.006
 4 120 8 3 0     2.159
 4 120 8 4 0     2.061
 4 120 8 5 0     1.964
 4 120 8 6 0     2.446
 4 120 8 7 0     2.932
 4 120 8 8 0     3.043
 4 120 8 9 0     3.133
 4 120 810 0     3.024
 4 120 811 0     2.927
 4 120 812 0     2.580
 4 120 813 0     1.887
 4 120 814 0     1.289
 4 120 815 0     1.314
 4 120 816 0     0.888
 4 120 817 0     0.997
 4 120 818 0     1.297
 4 120 819 0     1.668
 4 120 820 0     1.828
 4 120 821 0     2.444
 4 120 822 0     2.264
 4 120 823 0     2.241
 4 120 824 0     2.696
 5 120 8 1 0     2.255
 5 120 8 2 0     2.321
 5 120 8 3 0     1.730
 5 120 8 4 0     1.761
 5 120 8 5 0     2.383
 5 120 8 6 0     2.571
 5 120 8 7 0     2.609
 5 120 8 8 0     3.196
 5 120 8 9 0     3.026
 5 120 810 0     3.395
 5 120 811 0     3.254
 5 120 812 0     2.438
 5 120 813 0     2.512
 5 120 814 0     1.675
 5 120 815 0     0.897
 5 120 816 0     0.630
 5 120 817 0     0.950
 5 120 818 0     0.592
 5 120 819 0     0.998
 5 120 820 0     1.289
 5 120 821 0     2.230
 5 120 822 0     2.449
 5 120 823 0     2.856
 5 120 824 0     2.928
 6 120 8 1 0     2.896
 6 120 8 2 0     2.513
 6 120 8 3 0     2.177
 6 120 8 4 0     2.012
 6 120 8 5 0     1.780
 6 120 8 6 0     1.835
 6 120 8 7 0     2.571
 6 120 8 8 0     2.853
 6 120 8 9 0     3.090
 6 120 810 0     3.470
 6 120 811 0     3.562
 6 120 812 0     3.069
 6 120 813 0     2.979
 6 120 814 0     2.321
 6 120 815 0     1.451
 6 120 816 0     1.292
 6 120 817 0     0.512
 6 120 818 0     0.481
 6 120 819 0     0.766
 6 120 820 0     0.765
 6 120 821 0     1.837
 6 120 822 0     1.798
