"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-01 00:00","2024","12","01","00:00","1.2","","-0.3","","90","","","","24","","12","","","","100.99","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-01 01:00","2024","12","01","01:00","1.3","","-0.7","","87","","","","23","","9","","","","100.98","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-01 02:00","2024","12","01","02:00","1.2","","-0.5","","88","","","","29","","6","","","","101.03","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-01 03:00","2024","12","01","03:00","0.7","","-1.0","","88","","","","26","","6","","","","101.08","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-01 04:00","2024","12","01","04:00","0.8","","-2.1","","81","","","","24","","8","","","","101.10","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-01 05:00","2024","12","01","05:00","0.5","","-0.2","","96","","","","28","","4","","","","101.13","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-01 06:00","2024","12","01","06:00","0.6","","-0.2","","94","","","","29","","9","","","","101.19","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-01 07:00","2024","12","01","07:00","0.6","","-0.5","","92","","","","29","","7","","","","101.22","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-01 08:00","2024","12","01","08:00","0.8","","-1.2","","86","","","","28","","10","","","","101.27","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-01 09:00","2024","12","01","09:00","1.6","","-1.3","","81","","","","23","","7","","","","101.31","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-01 10:00","2024","12","01","10:00","3.0","","-1.1","","74","","","","26","","9","","","","101.35","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-01 11:00","2024","12","01","11:00","3.9","","-1.5","","68","","","","23","","13","","","","101.34","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-01 12:00","2024","12","01","12:00","4.1","","-1.2","","68","","","","25","","10","","","","101.33","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-01 13:00","2024","12","01","13:00","4.8","","-4.1","","53","","","","28","","12","","","","101.29","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-01 14:00","2024","12","01","14:00","4.8","","-4.1","","53","","","","31","","10","","","","101.27","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-01 15:00","2024","12","01","15:00","5.4","","-5.7","","44","","","","25","","6","","","","101.27","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-01 16:00","2024","12","01","16:00","4.3","","-4.3","","54","","","","27","","7","","","","101.31","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-01 17:00","2024","12","01","17:00","3.6","","-4.3","","56","","","","23","","4","","","","101.33","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-01 18:00","2024","12","01","18:00","3.6","","-4.3","","56","","","","20","","4","","","","101.35","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-01 19:00","2024","12","01","19:00","2.6","","-0.4","","81","","","","19","","11","","","","101.36","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-01 20:00","2024","12","01","20:00","2.8","","0.1","","82","","","","21","","4","","","","101.39","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-01 21:00","2024","12","01","21:00","2.9","","-1.1","","75","","","","22","","6","","","","101.38","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-01 22:00","2024","12","01","22:00","3.0","","-1.0","","75","","","","26","","3","","","","101.37","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-01 23:00","2024","12","01","23:00","2.7","","-1.7","","72","","","","26","","4","","","","101.36","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-02 00:00","2024","12","02","00:00","2.3","","-2.4","","71","","","","27","","4","","","","101.38","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-02 01:00","2024","12","02","01:00","2.0","","-2.3","","73","","","","30","","6","","","","101.34","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-02 02:00","2024","12","02","02:00","2.1","","-2.4","","72","","","","22","","5","","","","101.35","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-02 03:00","2024","12","02","03:00","2.5","","-2.6","","69","","","","27","","8","","","","101.37","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-02 04:00","2024","12","02","04:00","1.5","","-2.7","","74","","","","26","","4","","","","101.37","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-02 05:00","2024","12","02","05:00","1.3","","-1.7","","80","","","","19","","4","","","","101.42","","","","","","NA"
