//Data documentation at https://www.bodc.ac.uk/data/documents/series/1081226/
//SDN_parameter_mapping
//<subject>SDN:LOCAL:Pres_Z</subject><object>SDN:P011::PRESPR01</object><units>SDN:P061::UPDB</units>
//<subject>SDN:LOCAL:Record_No</subject><object>SDN:P011::ACYCAA01</object><units>SDN:P061::UUUU</units>
//<subject>SDN:LOCAL:ManCalISFluor_Chl-a</subject><object>SDN:P011::CPHLPM01</object><units>SDN:P061::UMMC</units>
//<subject>SDN:LOCAL:ManCalISFluor_Chl-a_sensor2</subject><object>SDN:P011::CPHLPM02</object><units>SDN:P061::UMMC</units>
//<subject>SDN:LOCAL:WC_dissO2_uncalib</subject><object>SDN:P011::DOXYSU01</object><units>SDN:P061::UPOX</units>
//<subject>SDN:LOCAL:WC_Potemp</subject><object>SDN:P011::POTMCV01</object><units>SDN:P061::UPAA</units>
//<subject>SDN:LOCAL:P_sal_CTD_calib</subject><object>SDN:P011::PSALCC01</object><units>SDN:P061::UUUU</units>
//<subject>SDN:LOCAL:ScalIrr_4-piPAR</subject><object>SDN:P011::SCIRR4PI</object><units>SDN:P061::UMES</units>
//<subject>SDN:LOCAL:SigTheta</subject><object>SDN:P011::SIGTPR01</object><units>SDN:P061::UKMC</units>
//<subject>SDN:LOCAL:Cal_CTD_Temp</subject><object>SDN:P011::TEMPCC01</object><units>SDN:P061::UPAA</units>
//

Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	Pres_Z [dbar]	QV:SEADATANET	Record_No [Dmnless]	QV:SEADATANET	ManCalISFluor_Chl-a [mg/m^3]	QV:SEADATANET	ManCalISFluor_Chl-a_sensor2 [mg/m^3]	QV:SEADATANET	WC_dissO2_uncalib [umol/l]	QV:SEADATANET	WC_Potemp [degC]	QV:SEADATANET	P_sal_CTD_calib [Dmnless]	QV:SEADATANET	ScalIrr_4-piPAR [uE/m^2/s]	QV:SEADATANET	SigTheta [kg/m^3]	QV:SEADATANET	Cal_CTD_Temp [degC]	QV:SEADATANET
HUD2008037	HUD2008037/CTD/11	*	2008-10-03T06:00:57.000	-61.3435	42.3617	1081226	43	3365	    2.00	1	        1	1	  0.06	1	 -3.71	3	247.6	1	17.168	1	32.520	1	6352.10	3	23.573	1	17.164	1
									    3.00	1	        2	1	  0.06	1	 -3.71	3	248.1	1	17.167	1	32.526	1	6352.10	3	23.578	1	17.164	1
									    4.00	1	        3	1	  0.06	1	 -3.71	3	248.8	1	17.196	1	32.529	1	6352.10	3	23.573	1	17.193	1
									    5.00	1	        4	1	  0.05	1	 -3.71	3	249.6	1	17.173	1	32.529	1	6352.10	3	23.579	1	17.170	1
									    6.00	1	        5	1	  0.05	1	 -3.71	3	249.4	1	17.170	1	32.529	1	6352.10	3	23.580	1	17.166	1
									    7.00	1	        6	1	  0.06	1	 -3.71	3	248.9	1	17.169	1	32.529	1	6352.10	3	23.580	1	17.166	1
									    8.00	1	        7	1	  0.05	1	 -3.71	3	248.5	1	17.169	1	32.529	1	6352.10	3	23.580	1	17.166	1
									    9.00	1	        8	1	  0.05	1	 -3.71	3	248.3	1	17.168	1	32.530	1	6352.10	3	23.581	1	17.165	1
									   10.00	1	        9	1	  0.06	1	 -3.71	3	248.8	1	17.168	1	32.529	1	6352.10	3	23.581	1	17.165	1
									   11.00	1	       10	1	  0.06	1	 -3.71	3	249.1	1	17.166	1	32.530	1	6352.10	3	23.581	1	17.164	1
									   12.00	1	       11	1	  0.06	1	 -3.71	3	249.5	1	17.167	1	32.529	1	6352.10	3	23.581	1	17.164	1
									   13.00	1	       12	1	  0.06	1	 -3.71	3	248.9	1	17.166	1	32.529	1	6352.10	3	23.581	1	17.164	1
									   14.00	1	       13	1	  0.06	1	 -3.71	3	248.5	1	17.166	1	32.529	1	6352.10	3	23.581	1	17.165	1
									   15.00	1	       14	1	  0.06	1	 -3.71	3	248.8	1	17.166	1	32.529	1	6352.10	3	23.581	1	17.165	1
									   16.00	1	       15	1	  0.06	1	 -3.71	3	249.1	1	17.166	1	32.529	1	6352.10	3	23.581	1	17.164	1
									   17.00	1	       16	1	  0.06	1	 -3.71	3	249.3	1	17.163	1	32.530	1	6352.10	3	23.582	1	17.162	1
									   18.00	1	       17	1	  0.06	1	 -3.71	3	248.9	1	17.158	1	32.529	1	6352.10	3	23.583	1	17.156	1
									   19.00	1	       18	1	  0.06	1	 -3.71	3	248.2	1	17.145	1	32.532	1	6352.10	3	23.588	1	17.144	1
									   20.00	1	       19	1	  0.07	1	 -3.71	3	245.5	1	17.133	1	32.532	1	6352.10	3	23.591	1	17.132	1
									   21.00	1	       20	1	  0.07	1	 -3.71	3	242.4	1	17.095	1	32.537	1	6352.10	3	23.604	1	17.094	1
									   22.00	1	       21	1	  0.07	1	 -3.71	3	250.7	1	17.080	1	32.539	1	6352.10	3	23.609	1	17.080	1
									   23.00	1	       22	1	  0.07	1	 -3.71	3	265.1	1	16.978	1	32.546	1	6352.10	3	23.637	1	16.977	1
									   24.00	1	       23	1	  0.07	1	 -3.71	3	267.9	1	16.712	1	32.538	1	6352.10	3	23.693	1	16.712	1
