RBR TDR-2050  6.42 014765 (Windows: 6.11 - Minimum required: 6.10)
Host time     08/07/02 14:22:00
Logger time   08/07/02 14:22:04
Logging start 08/06/25 10:00:00
Logging end   08/07/11 13:58:28
Sample period          00:00:01
Number of channels =  2, number of samples = 620524, mode: Logging Stopped by User
E02%9.4f
Calibration  1: 0.003410314395769
                -0.000256646479764
                0.000002360658725
                -0.000000064477447 Degrees_C
Calibration  2: 9.205794425444999
                48.382243269661998
                2.277493374335000
                1.104130053776000 deciBars
COMMENT: PT sensor, mooring c. Recovered 2008-07-02 14:00 UTC
Atmospheric pressure 10.132500 dBar, water density 1.000000, (Simplified calculation)
Latitude 0 degrees 0.000 minutes
Memory type: 6 AT45DB642D_LP

                         Temp      Pres     Depth 
2008/06/25 10:00:00   18.5260   10.2225    0.0917 
2008/06/25 10:00:01   18.5275   10.2225    0.0917 
2008/06/25 10:00:02   18.5288   10.2224    0.0917 
2008/06/25 10:00:03   18.5298   10.2225    0.0918 
2008/06/25 10:00:04   18.5308   10.2226    0.0918 
2008/06/25 10:00:05   18.5316   10.2227    0.0919 
2008/06/25 10:00:06   18.5322   10.2225    0.0917 
2008/06/25 10:00:07   18.5328   10.2227    0.0919 
2008/06/25 10:00:08   18.5334   10.2226    0.0919 
2008/06/25 10:00:09   18.5339   10.2226    0.0919 
2008/06/25 10:00:10   18.5344   10.2225    0.0918 
2008/06/25 10:00:11   18.5349   10.2226    0.0919 
2008/06/25 10:00:12   18.5354   10.2226    0.0919 
2008/06/25 10:00:13   18.5358   10.2226    0.0919 
2008/06/25 10:00:14   18.5360   10.2226    0.0919 
2008/06/25 10:00:15   18.5361   10.2226    0.0919 
2008/06/25 10:00:16   18.5362   10.2225    0.0918 
2008/06/25 10:00:17   18.5362   10.2227    0.0920 
2008/06/25 10:00:18   18.5360   10.2226    0.0919 
2008/06/25 10:00:19   18.5359   10.2227    0.0919 
2008/06/25 10:00:20   18.5358   10.2227    0.0920 
2008/06/25 10:00:21   18.5359   10.2226    0.0919 
2008/06/25 10:00:22   18.5361   10.2225    0.0918 
2008/06/25 10:00:23   18.5362   10.2227    0.0920 
2008/06/25 10:00:24   18.5365   10.2226    0.0919 
2008/06/25 10:00:25   18.5365   10.2226    0.0919 
2008/06/25 10:00:26   18.5367   10.2224    0.0917 
2008/06/25 10:00:27   18.5368   10.2226    0.0918 
2008/06/25 10:00:28   18.5368   10.2227    0.0920 
2008/06/25 10:00:29   18.5369   10.2226    0.0919 
2008/06/25 10:00:30   18.5367   10.2225    0.0918 
2008/06/25 10:00:31   18.5367   10.2226    0.0918 
2008/06/25 10:00:32   18.5367   10.2227    0.0919 
2008/06/25 10:00:33   18.5365   10.2225    0.0917 
2008/06/25 10:00:34   18.5364   10.2227    0.0919 
2008/06/25 10:00:35   18.5362   10.2226    0.0919 
2008/06/25 10:00:36   18.5363   10.2226    0.0919 
2008/06/25 10:00:37   18.5362   10.2227    0.0920 
2008/06/25 10:00:38   18.5363   10.2226    0.0918 
2008/06/25 10:00:39   18.5363   10.2224    0.0917 
2008/06/25 10:00:40   18.5366   10.2226    0.0918 
2008/06/25 10:00:41   18.5366   10.2225    0.0918 
2008/06/25 10:00:42   18.5367   10.2225    0.0917 
2008/06/25 10:00:43   18.5369   10.2226    0.0919 
2008/06/25 10:00:44   18.5372   10.2225    0.0917 
2008/06/25 10:00:45   18.5372   10.2225    0.0918 
2008/06/25 10:00:46   18.5375   10.2227    0.0920 
2008/06/25 10:00:47   18.5376   10.2225    0.0918 
2008/06/25 10:00:48   18.5377   10.2225    0.0918 
2008/06/25 10:00:49   18.5381   10.2226    0.0919 
2008/06/25 10:00:50   18.5381   10.2226    0.0918 
2008/06/25 10:00:51   18.5383   10.2228    0.0920 
2008/06/25 10:00:52   18.5384   10.2225    0.0917 
2008/06/25 10:00:53   18.5384   10.2226    0.0919 
2008/06/25 10:00:54   18.5384   10.2227    0.0920 
2008/06/25 10:00:55   18.5384   10.2226    0.0919 
2008/06/25 10:00:56   18.5383   10.2225    0.0918 
2008/06/25 10:00:57   18.5385   10.2227    0.0920 
2008/06/25 10:00:58   18.5384   10.2227    0.0920 
2008/06/25 10:00:59   18.5385   10.2225    0.0918 
