//0																					
//Oxygen,  1.10
//Nitrate, 1, 1, 0, 0
//Nitrate, 58, 1, -1, 0
//Nitrate, 137, 1, -2, 0
//Nitrate, 147, 1, 0.6, 0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth [m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF
5145Hawaii	1	C	12/23/2007	11:14	202.014	22.866		998.95	0	4.0853	0	34.4483	0	27.288	0	41.47	0	12.79	0	43.29	0
5145Hawaii	1	C	12/23/2007	11:14	202.014	22.866		950.45	0	4.2291	0	34.4254	0	27.253	0	38.61	0	11.95	0	43.53	0
5145Hawaii	1	C	12/23/2007	11:14	202.014	22.866		900.76	0	4.3313	0	34.4019	0	27.222	0	34.65	0	10.75	0	43.36	0
5145Hawaii	1	C	12/23/2007	11:14	202.014	22.866		850.58	0	4.4579	0	34.3752	0	27.186	0	31.24	0	9.72	0	43.41	0
5145Hawaii	1	C	12/23/2007	11:14	202.014	22.866		801.05	0	4.6393	0	34.3332	0	27.13	0	27.61	0	8.63	0	43.30	0
5145Hawaii	1	C	12/23/2007	11:14	202.014	22.866		751.16	0	4.8491	0	34.2806	0	27.062	0	27.39	0	8.60	0	43.08	0
5145Hawaii	1	C	12/23/2007	11:14	202.014	22.866		700.89	0	5.0346	0	34.2467	0	27.012	0	29.04	0	9.15	0	41.93	0
5145Hawaii	1	C	12/23/2007	11:14	202.014	22.866		651.24	0	5.3378	0	34.2024	0	26.938	0	35.53	0	11.28	0	40.91	0
5145Hawaii	1	C	12/23/2007	11:14	202.014	22.866		600.94	0	5.9251	0	34.1648	0	26.833	0	50.27	0	16.18	0	38.10	0
5145Hawaii	1	C	12/23/2007	11:14	202.014	22.866		550.93	0	6.7072	0	34.1389	0	26.707	0	73.15	0	23.97	0	34.85	0
5145Hawaii	1	C	12/23/2007	11:14	202.014	22.866		501.17	0	7.476	0	34.1239	0	26.586	0	96.47	0	32.17	0	31.22	0
5145Hawaii	1	C	12/23/2007	11:14	202.014	22.866		451.51	0	8.7224	0	34.1227	0	26.397	0	136.51	0	46.83	0	25.03	0
5145Hawaii	1	C	12/23/2007	11:14	202.014	22.866		401.38	0	10.0561	0	34.1449	0	26.198	0	172.37	0	60.91	0	19.21	0
5145Hawaii	1	C	12/23/2007	11:14	202.014	22.866		381.03	0	10.5633	0	34.1589	0	26.122	0	181.94	0	65.01	0	17.82	0
5145Hawaii	1	C	12/23/2007	11:14	202.014	22.866		361.14	0	10.8591	0	34.1521	0	26.064	0	191.18	0	68.75	0	15.99	0
5145Hawaii	1	C	12/23/2007	11:14	202.014	22.866		351.08	0	11.1509	0	34.1746	0	26.031	0	193.16	0	69.91	0	15.54	0
5145Hawaii	1	C	12/23/2007	11:14	202.014	22.866		341.58	0	11.7189	0	34.2038	0	25.952	0	194.59	0	71.30	0	13.99	0
5145Hawaii	1	C	12/23/2007	11:14	202.014	22.866		331.55	0	11.8765	0	34.179	0	25.902	0	196.68	0	72.29	0	13.09	0
5145Hawaii	1	C	12/23/2007	11:14	202.014	22.866		320.82	0	12.314	0	34.2056	0	25.841	0	198.44	0	73.63	0	12.14	0
5145Hawaii	1	C	12/23/2007	11:14	202.014	22.866		311.62	0	13.063	0	34.2928	0	25.769	0	199.21	0	75.12	0	11.22	0
5145Hawaii	1	C	12/23/2007	11:14	202.014	22.866		301.27	0	13.3273	0	34.3095	0	25.73	0	199.76	0	75.74	0	10.33	0
5145Hawaii	1	C	12/23/2007	11:14	202.014	22.866		291.05	0	13.9455	0	34.3634	0	25.65	0	198.66	0	76.31	0	9.53	0
