//0																					
//Oxygen,  1.01
//Nitrate, 1, 1, 0, -1.7
//Nitrate, 48, 1, 0.6, -1.5
//Nitrate, 134, 1, 0.5, -.5
//Nitrate, 202, 1, -1, 0
//Nitrate, 240, 1, 0, .5
//Nitrate, 274, 1, 0, 0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF
6401Hawaii	 1	C	11/06/2009	15:36	202.012	 22.690		  1298.13	0	  3.3782	0	34.5370	0	27.437	0	54.04	0	16.39	0	43.18	0
6401Hawaii	 1	C	11/06/2009	15:36	202.012	 22.690		  1199.50	0	  3.6252	0	34.5137	0	27.392	0	49.59	0	15.13	0	43.14	0
6401Hawaii	 1	C	11/06/2009	15:36	202.012	 22.690		  1099.68	0	  4.0201	0	34.5076	0	27.344	0	41.31	0	12.73	0	43.77	0
6401Hawaii	 1	C	11/06/2009	15:36	202.012	 22.690		   999.52	0	  4.4206	0	34.4894	0	27.284	0	34.14	0	10.62	0	43.74	0
6401Hawaii	 1	C	11/06/2009	15:36	202.012	 22.690		   951.16	0	  4.6213	0	34.4814	0	27.254	0	31.31	0	9.79	0	43.65	0
6401Hawaii	 1	C	11/06/2009	15:36	202.012	 22.690		   901.16	0	  4.8376	0	34.4716	0	27.221	0	29.09	0	9.14	0	43.42	0
6401Hawaii	 1	C	11/06/2009	15:36	202.012	 22.690		   851.32	0	  4.9859	0	34.4593	0	27.193	0	28.08	0	8.85	0	43.44	0
6401Hawaii	 1	C	11/06/2009	15:36	202.012	 22.690		   801.46	0	  5.2311	0	34.4474	0	27.153	0	25.65	0	8.14	0	42.87	0
6401Hawaii	 1	C	11/06/2009	15:36	202.012	 22.690		   750.97	0	  5.4481	0	34.4387	0	27.119	0	24.14	0	7.69	0	42.84	0
6401Hawaii	 1	C	11/06/2009	15:36	202.012	 22.690		   701.74	0	  5.5831	0	34.4002	0	27.071	0	22.62	0	7.23	0	42.25	0
6401Hawaii	 1	C	11/06/2009	15:36	202.012	 22.690		   650.94	0	  5.8441	0	34.3804	0	27.021	0	22.12	0	7.11	0	41.58	0
6401Hawaii	 1	C	11/06/2009	15:36	202.012	 22.690		   601.66	0	  5.9653	0	34.2956	0	26.935	0	25.65	0	8.27	0	40.46	0
6401Hawaii	 1	C	11/06/2009	15:36	202.012	 22.690		   551.47	0	  6.2690	0	34.1640	0	26.787	0	41.71	0	13.53	0	37.49	0
