BOTTLE,20000814WHPSIOJJW
#code : jjward hyd_to_exchange.pl V1.0
#original HYD file: p16chy.txt   Thu Aug 10 14:31:46 2000
#original SUM file: p16csu.txt   Thu Aug 10 14:31:46 2000
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC14,DELC14_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,/MILLE,,UMOL/KG,,UMOL/KG,
   31WTTUNES_3,  P16C,   221,  1,     36,     36,2,19910901,0937,-17.5102,-150.4812, 3596,      9.1,  26.6452,  36.0902,2,  36.0125,2,   -999.0,5,    211.3,2,     0.85,2,     0.76,2,     0.00,2,     0.19,2,    1.736,2,    0.909,2, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,     35,     35,2,19910901,0937,-17.5102,-150.4812, 3596,     39.0,  26.5801,  36.0897,2,  36.0869,2,   -999.0,5,    212.0,2,     0.86,2,     0.21,2,     0.00,2,     0.19,2,    1.733,2,    0.924,2, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,     34,     34,2,19910901,0937,-17.5102,-150.4812, 3596,     68.4,  26.5697,  36.1019,2,  36.1152,2,   -999.0,5,    211.7,2,     1.26,2,     0.21,2,     0.00,2,     0.19,2, -999.000,1, -999.000,1, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,     33,     33,2,19910901,0937,-17.5102,-150.4812, 3596,    109.6,  25.9976,  36.0599,2,  36.0459,2,   -999.0,5,    214.3,2,     0.88,2,     0.21,2,     0.00,2,     0.16,2, -999.000,1, -999.000,1, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,     32,     32,2,19910901,0937,-17.5102,-150.4812, 3596,    128.2,  25.6561,  36.0471,2,  36.1015,2,   -999.0,5,    196.7,2,     0.88,2,     0.44,2,     0.09,2,     0.23,2, -999.000,1, -999.000,1, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,     31,     31,2,19910901,0937,-17.5102,-150.4812, 3596,    147.0,  24.4995,  36.1498,2,  36.0560,2,   -999.0,5,    185.1,2,     0.89,2,     1.16,2,     0.05,2,     0.28,2,    1.791,2,    0.918,2, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,     30,     30,2,19910901,0937,-17.5102,-150.4812, 3596,    186.4,  22.4337,  36.0464,2,  36.0608,2,   -999.0,5,    178.0,2,     0.90,2,     2.97,2,     0.02,2,     0.39,2, -999.000,1, -999.000,1, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,     29,     29,2,19910901,0937,-17.5102,-150.4812, 3596,    203.5,  21.4931,  35.9527,2,  35.9920,2,   -999.0,5,    175.4,2,     0.91,2,     3.39,2,     0.01,2,     0.42,2,    1.712,2,    0.883,2, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,     28,     28,2,19910901,0937,-17.5102,-150.4812, 3596,    243.8,  19.9175,  35.7381,2,  35.7327,2,   -999.0,5,    176.2,2,     1.31,2,     4.57,2,     0.01,2,     0.49,2, -999.000,1, -999.000,1, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,     27,     27,2,19910901,0937,-17.5102,-150.4812, 3596,    304.4,  16.7113,  35.3052,2,  35.2991,2,   -999.0,5,    170.1,2,     2.88,2,     8.38,2,     0.00,2,     0.75,2,    1.489,2,    0.739,2, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,     26,     26,2,19910901,0937,-17.5102,-150.4812, 3596,    364.9,  13.4583,  34.9316,2,  34.9374,2,   -999.0,5,    158.5,2,     6.04,2,    14.10,2,     0.00,2,     1.14,2, -999.000,1, -999.000,1, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,     25,     25,2,19910901,0937,-17.5102,-150.4812, 3596,    423.9,  10.6097,  34.6444,2,  34.6846,2,   -999.0,5,    142.8,2,    10.95,2,    20.67,2,     0.00,2,     1.58,2,    0.668,2,    0.340,2, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,     24,     24,2,19910901,0937,-17.5102,-150.4812, 3596,    475.5,   8.8429,  34.5226,2,  34.5339,2,   -999.0,5,    141.8,2,    15.09,2,    25.50,2,     0.00,2,     1.86,2, -999.000,1, -999.000,1, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,     23,     23,2,19910901,0937,-17.5102,-150.4812, 3596,    554.6,   7.1705,  34.4382,2,  34.4328,2,   -999.0,5,    152.3,2,    21.57,2,    29.62,2,     0.00,2,     2.06,2,    0.175,2,    0.094,2, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,     22,     22,2,19910901,0937,-17.5102,-150.4812, 3596,    625.3,   6.2795,  34.4118,2,  34.4125,2,   -999.0,5,    157.7,2,    25.71,2,    30.90,2,     0.00,2,     2.12,2, -999.000,1, -999.000,1, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,     21,     21,2,19910901,0937,-17.5102,-150.4812, 3596,    703.3,   5.6479,  34.4390,2,  34.4414,2,   -999.0,5,    149.4,2,    37.89,2,    32.72,2,     0.00,2,     2.26,2,    0.038,2,    0.019,2, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,     20,     20,2,19910901,0937,-17.5102,-150.4812, 3596,    800.3,   5.1556,  34.4576,2,  34.4583,2,   -999.0,5,    147.5,2,    49.08,2,    34.06,2,     0.00,2,     2.34,2,    0.027,3,    0.003,3, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,     19,     19,2,19910901,0937,-17.5102,-150.4812, 3596,    897.5,   4.5101,  34.4724,2,  34.4763,2,   -999.0,5,    145.9,2,    58.91,2,    34.80,2,     0.00,2,     2.39,2,    0.023,3,    0.001,2, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,     18,     18,2,19910901,0937,-17.5102,-150.4812, 3596,    997.2,   4.0609,  34.4926,2,  34.4936,2,   -999.0,5,    145.1,2,    67.74,2,    35.32,2,     0.00,2,     2.41,2,    0.009,2,    0.000,2, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,     17,     17,2,19910901,0937,-17.5102,-150.4812, 3596,   1194.3,   3.2729,  34.5389,2,  34.5335,2,   -999.0,5,    143.7,2,    82.48,2,    36.06,2,     0.00,2,     2.47,2, -999.000,1, -999.000,1, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,     16,     16,2,19910901,0937,-17.5102,-150.4812, 3596,   1399.5,   2.8690,  34.5679,2,  34.5633,2,   -999.0,5,    146.0,2,    93.67,2,    36.19,2,     0.00,2,     2.48,2,    0.003,2,    0.009,2, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,     15,     15,2,19910901,0937,-17.5102,-150.4812, 3596,   1603.4,   2.5897,  34.5930,2,  34.5946,2,   -999.0,5,    149.1,2,   104.28,2,    36.28,2,     0.00,2,     2.48,2, -999.000,1, -999.000,1, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,     14,     14,2,19910901,0937,-17.5102,-150.4812, 3596,   1811.0,   2.3146,  34.6165,2,  34.6097,2,   -999.0,5,    149.1,2,   111.74,2,    36.22,2,     0.00,2,     2.47,2,    0.005,2,    0.003,2, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,     13,     13,2,19910901,0937,-17.5102,-150.4812, 3596,   2018.7,   2.0939,  34.6359,2,  34.6341,2,   -999.0,5,    167.4,4,   117.05,2,    36.20,2,     0.00,2,     2.46,2, -999.000,1, -999.000,1, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,     12,     12,2,19910901,0937,-17.5102,-150.4812, 3596,   2219.6,   1.9674,  34.6471,2,  34.6480,2,   -999.0,5,    154.3,2,   119.99,2,    36.04,2,     0.00,2,     2.45,2, -999.000,1, -999.000,1, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,     11,     11,2,19910901,0937,-17.5102,-150.4812, 3596,   2424.9,   1.8753,  34.6554,2,  34.6549,2,   -999.0,5,    156.3,2,   122.34,2,    35.88,2,     0.00,2,     2.45,2, -999.000,1, -999.000,1, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,     10,     10,2,19910901,0937,-17.5102,-150.4812, 3596,   2631.2,   1.7955,  34.6633,2,  34.6614,2,   -999.0,5,    158.5,2,   123.92,2,    35.77,2,     0.00,2,     2.42,2,    0.006,2,    0.003,2, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,      9,      9,2,19910901,0937,-17.5102,-150.4812, 3596,   2839.0,   1.7126,  34.6709,2,  34.6718,2,   -999.0,5,    161.9,2,   124.90,2,    35.55,2,     0.00,2,     2.40,2, -999.000,1, -999.000,1, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,      8,      8,2,19910901,0937,-17.5102,-150.4812, 3596,   3048.7,   1.6440,  34.6763,2,  34.6765,2,   -999.0,5,    165.7,2,   125.10,2,    35.20,2,     0.00,2,     2.39,2,    0.004,2,    0.001,2, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,      7,      7,2,19910901,0937,-17.5102,-150.4812, 3596,   3048.7,   1.6440,  34.6763,2,  34.6763,2,   -999.0,5,    166.3,2,   124.72,2,    35.18,2,     0.00,2,     2.39,2,    0.000,2,    0.003,2, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,      6,      6,2,19910901,0937,-17.5102,-150.4812, 3596,   3048.7,   1.6440,  34.6763,2,  34.6761,2,   -999.0,5,    165.9,2,   124.91,2,    35.22,2,     0.00,2,     2.39,2,    0.017,4,    0.117,4, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,      5,      5,2,19910901,0937,-17.5102,-150.4812, 3596,   3048.7,   1.6440,  34.6763,2,  34.6751,2,   -999.0,5,    165.7,2,   124.91,2,    35.21,2,     0.00,2,     2.40,2,    0.007,2,    0.009,2, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,      4,      4,2,19910901,0937,-17.5102,-150.4812, 3596,   3048.7,   1.6440,  34.6763,2,  34.6789,3,   -999.0,5,    165.7,2,   125.12,2,    35.25,2,     0.00,2,     2.40,2,   -0.002,2,    0.002,2, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,      3,      3,2,19910901,0937,-17.5102,-150.4812, 3596,   3256.6,   1.5836,  34.6813,2,  34.6802,2,   -999.0,5,    169.1,2,   125.31,2,    34.99,2,     0.00,2,     2.38,2,    0.002,2,    0.005,2, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,      2,      2,2,19910901,0937,-17.5102,-150.4812, 3596,   3463.5,   1.5534,  34.6847,2,  34.6828,2,   -999.0,5,    171.5,2,   124.92,2,    34.73,2,     0.00,2,     2.37,2, -999.000,1, -999.000,1, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   221,  1,      1,      1,2,19910901,0937,-17.5102,-150.4812, 3596,   3637.0,   1.5326,  34.6877,2,  34.6851,2,   -999.0,5,    173.7,2,   124.93,2,    34.57,2,     0.00,2,     2.36,2,   -0.002,2,    0.008,2, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   222,  1,     36,     36,2,19910901,1535,-16.9942,-150.4943, 3768,      4.2,  26.6634,  35.9216,2,  35.9765,2,   -999.0,5,    208.4,2,     0.87,2,     0.99,2,     0.00,2,     0.17,2,    1.738,2,    0.976,3, -999.000,1,-999.0000,1,  -999.00,1,    117.0,2,   -999.0,9,   2365.4,2
